,visteon/device/visteon/tata_x4,
MR IID,URL,Title
41,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/41,Integrating upgraded Sensor HAL to TATA_X4
98,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/98,TAX430674-42732 - ADR TESTING - copy mnl.prop to dest
100,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/100,Update file device.mk
101,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/101,[TAX430674-42732 ] - revert mnl.prop
150,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/150,copy animation vedio files to the target
127,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/127,JIRA : Updating debug log path (temporary fix)
130,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/130,JIRA : Updating debug log path (temporary fix)
131,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/131,JIRA : Updating debug log path (temporary fix)
132,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/132,TAX430674-48261   System goes to Android Recovery page after 06.11 Sec User Fastboot
133,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/133,TAX430674-48261   System goes to Android Recovery page after 06.11 Sec User Fastboot
134,https://git.visteon.com/visteon-android/visteon/device/visteon/tata_x4/-/merge_requests/134,TAX430674-48261   System goes to Android Recovery page after 06.11 Sec User Fastboot
,,
,,
,mediatek/platform/hardware/enhanceposition/,
MR IID,URL,Title
1,https://git.visteon.com/visteon-android/mediatek/platform/hardware/enhanceposition/-/merge_requests/1,TAX430674-33246 - Integration of Enhanceposition for GNSS FIX
3,https://git.visteon.com/visteon-android/mediatek/platform/hardware/enhanceposition/-/merge_requests/3,"GNSS CP CERT fix. (GNGGA, GNRMC, UTC time, Lat, Lon) in ADR"
6,https://git.visteon.com/visteon-android/mediatek/platform/hardware/enhanceposition/-/merge_requests/6,Update ADR config files
